Date,Open,High,Low,Close,Adj Close,Volume,Change
2002-05-31,47783.51172,48274.10156,44594.67578,44938.08594,36763.8125,1400455,-5.95
2002-06-03,44643.73438,47391.03906,44594.67578,47391.03906,38770.57813,1362643,5.46
2002-06-04,45919.26953,48568.45703,45919.26953,48077.86719,39332.46094,1011638,1.45
2002-06-05,48960.92969,50727.05469,48372.22266,50530.82031,41339.21875,1433374,5.1
2002-06-07,49843.99219,51315.76172,48960.92969,50825.17188,41580.03516,1280395,0.58
2002-06-10,51610.11719,52591.30078,51610.11719,52100.70703,42623.55859,955175,2.51
2002-06-11,52100.70703,53670.59766,51512,53376.24219,43667.07031,882915,2.45
2002-06-12,52493.17969,53964.95313,51806.35547,53964.95313,44148.6875,1201715,1.1
2002-06-14,53474.36328,54063.07031,51315.76172,51610.11719,42222.20313,1156973,-4.36
2002-06-17,51904.47266,52591.30078,51217.64453,51708.23438,42302.46875,682239,0.19
2002-06-18,52689.41797,53278.125,51708.23438,51904.47266,42463.00781,674595,0.38
2002-06-19,51119.52734,52198.82813,48862.8125,49157.16406,40215.44141,1069833,-5.29
2002-06-20,48666.57422,49451.51953,47783.51172,49059.04688,40135.16797,691615,-0.2
2002-06-21,48077.86719,50825.17188,47391.03906,50825.17188,41580.03516,620782,3.6
2002-06-24,49549.63672,50236.46484,48862.8125,49647.75781,40616.79688,770194,-2.32
2002-06-25,50138.34766,50727.05469,47881.62891,47979.75,39252.19922,978208,-3.36
2002-06-26,46213.62109,46458.91797,42681.37109,43319.14063,35439.35547,1515826,-9.71
2002-06-27,45134.32422,45330.55859,43809.73047,44545.61328,36442.72656,1100000,2.83
2002-06-28,45330.55859,48225.04297,45330.55859,47096.6875,38529.76953,1039359,5.73
2002-07-02,45624.91406,48813.75391,45281.5,48274.10156,39493.01172,1114473,2.5
2002-07-03,48077.86719,49549.63672,46998.56641,49353.40234,40375.98438,915427,2.24
2002-07-04,49451.51953,49843.99219,46704.21484,48323.16016,39533.13672,2400780,-2.09
2002-07-05,49353.40234,50727.05469,48960.92969,49942.10938,40857.60938,1735357,3.35
2002-07-08,51512,51806.35547,49647.75781,50530.82031,41339.21875,1531827,1.18
2002-07-09,51315.76172,51413.88281,50138.34766,51315.76172,41981.39063,934282,1.55
2002-07-10,50138.34766,51315.76172,49745.875,50236.46484,41098.41406,1450700,-2.1
2002-07-11,49059.04688,49353.40234,47292.92188,47930.6875,39212.0625,1752276,-4.59
2002-07-12,48519.39844,48960.92969,47440.09766,48126.92578,39372.60938,1605004,0.41
2002-07-15,46704.21484,47685.39453,46311.74219,46458.91797,38008.00781,1625388,-3.47
2002-07-16,45379.61719,47489.15625,45379.61719,45477.73828,37205.30859,1182758,-2.11
2002-07-18,45134.32422,46164.5625,44545.61328,44643.73438,36523.01172,1048022,-1.83
2002-07-19,43760.67188,45624.91406,43417.25781,45330.55859,37084.90234,1303938,1.54
2002-07-22,43466.31641,44251.26172,42485.13672,42485.13672,34757.0625,1433374,-6.28
2002-07-23,42190.78125,44202.20313,41749.25,44153.14453,36121.65234,1515316,3.93
2002-07-24,44153.14453,45330.55859,43711.60938,44643.73438,36523.01172,2115206,1.11
2002-07-25,46704.21484,46704.21484,43858.78906,44055.02344,36041.38672,1629057,-1.32
2002-07-26,43564.43359,44545.61328,41209.60156,41798.30859,34195.16016,1189892,-5.12
2002-07-29,41896.42578,42632.3125,41013.36328,41405.83594,33874.08203,990541,-0.94
2002-07-30,43858.78906,44251.26172,42583.25391,43858.78906,35880.84766,1587678,5.92
2002-07-31,43858.78906,44692.79297,43417.25781,43858.78906,35880.84766,708839,0
2002-08-01,43760.67188,44251.26172,42632.3125,43073.84375,35238.68359,536190,-1.79
2002-08-02,41896.42578,42190.78125,41405.83594,42092.66406,34435.98047,736867,-2.28
2002-08-05,41209.60156,41602.07031,39541.59375,39590.65234,32389.08594,941110,-5.94
2002-08-06,38364.17578,38854.76563,37235.81641,38266.05859,31305.43359,2449293,-3.35
2002-08-07,39247.23828,39541.59375,38266.05859,38560.41016,31546.24609,1511443,0.77
2002-08-08,38658.53125,39100.0625,37824.52734,38364.17578,31385.70703,1225971,-0.51
2002-08-09,39835.94531,40130.30078,38952.88281,38952.88281,31867.32031,1254610,1.53
2002-08-12,39247.23828,40375.59766,39198.17969,39492.53516,32308.81836,1171547,1.39
2002-08-13,39492.53516,42190.78125,39198.17969,42190.78125,34516.25,1288039,6.83
2002-08-14,41209.60156,43270.07813,41209.60156,42877.60938,35078.14063,1372529,1.63
2002-08-16,44104.08203,44300.32031,42681.37109,42779.48828,34997.87109,1315251,-0.23
2002-08-19,42779.48828,43171.96094,41896.42578,41896.42578,34275.44141,975661,-2.06
2002-08-20,42975.72656,43368.19922,42583.25391,43368.19922,35479.50391,1258789,3.51
2002-08-21,42681.37109,44153.14453,42681.37109,43956.90625,35961.11328,870787,1.36
2002-08-22,44251.26172,45134.32422,43956.90625,44741.85156,36603.28516,1248597,1.79
2002-08-26,43073.84375,43368.19922,42534.19531,42681.37109,34917.59766,568600,-4.61
2002-08-27,42730.42969,43122.90234,42387.01563,42681.37109,34917.59766,562587,0
2002-08-28,41994.54297,42926.66797,41994.54297,42190.78125,34516.25,492467,-1.15
