N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익,PER
1.0,삼성전자,59500.0,500.0,+0.85%,100.0,2796048.0,4266212.0,516339.0,9.02
2.0,LG에너지솔루션,456000.0,5000.0,+1.11%,500.0,178519.0,237641.0,7685.0,757.48
3.0,SK하이닉스,93700.0,500.0,+0.54%,5000.0,429978.0,963865.0,124103.0,5.94
4.0,삼성바이오로직스,843000.0,15000.0,+1.81%,2500.0,15680.0,79700.0,5373.0,112.12
5.0,삼성전자우,54400.0,200.0,+0.37%,100.0,,,,8.25
6.0,LG화학,615000.0,1000.0,+0.16%,5000.0,426547.0,511353.0,50255.0,21.68
7.0,현대차,191000.0,3000.0,+1.60%,5000.0,1176106.0,2339464.0,66789.0,8.47
8.0,NAVER,245500.0,4000.0,+1.66%,100.0,68176.0,336910.0,13255.0,40.05
9.0,삼성SDI,585000.0,6000.0,-1.02%,5000.0,135532.0,258332.0,10676.0,27.29
10.0,카카오,76000.0,1100.0,+1.47%,100.0,61367.0,227796.0,5949.0,15.2
11.0,기아,78300.0,1700.0,+2.22%,5000.0,698624.0,668500.0,50657.0,5.99
12.0,셀트리온,196000.0,2500.0,+1.29%,1000.0,19116.0,56741.0,7569.0,49.04
13.0,삼성물산,123500.0,500.0,+0.41%,100.0,344552.0,552454.0,11960.0,14.71
14.0,POSCO홀딩스,248500.0,3000.0,+1.22%,5000.0,763323.0,914716.0,92381.0,3.0
15.0,KB금융,50300.0,100.0,-0.20%,5000.0,589176.0,6638958.0,60976.0,4.55
16.0,현대모비스,210500.0,1500.0,+0.72%,5000.0,417022.0,514825.0,20401.0,8.39
17.0,SK이노베이션,203500.0,1500.0,-0.73%,5000.0,468429.0,495574.0,17542.0,7.44
18.0,신한지주,36300.0,200.0,+0.55%,5000.0,286756.0,6481522.0,59521.0,4.59
19.0,SK,234000.0,1500.0,+0.65%,200.0,983250.0,1653809.0,49355.0,5.25
20.0,LG전자,99200.0,1100.0,+1.12%,5000.0,747216.0,534815.0,38638.0,9.73
21.0,두산에너빌리티,22350.0,750.0,+3.47%,5000.0,112836.0,237205.0,8779.0,168.05
22.0,카카오뱅크,28350.0,50.0,+0.18%,5000.0,10649.0,360401.0,2569.0,57.39
23.0,한국전력,20750.0,400.0,+1.97%,5000.0,605748.0,2111089.0,-58601.0,-0.86
24.0,LG,82600.0,1300.0,+1.60%,5000.0,68590.0,256698.0,24601.0,5.68
25.0,포스코케미칼,166000.0,0.0,0.00%,500.0,19895.0,39225.0,1217.0,93.79
26.0,현대중공업,142000.0,5000.0,-3.40%,5000.0,83113.0,150787.0,-8003.0,-17.07
27.0,삼성생명,62200.0,900.0,+1.47%,500.0,350791.0,3413826.0,17010.0,19.11
28.0,크래프톤,245000.0,4000.0,+1.66%,100.0,18863.0,56351.0,6396.0,19.03
29.0,하나금융지주,39000.0,150.0,+0.39%,5000.0,416778.0,5024453.0,46311.0,3.26
30.0,S-Oil,102500.0,1000.0,-0.97%,2500.0,274639.0,186932.0,21409.0,4.77
