N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익,PER
64.0,KODEX 200,31650.0,770.0,-2.38%,0.0,,,,
65.0,F&F,136500.0,6500.0,-4.55%,100.0,10892.0,11465.0,3227.0,14.28
66.0,맥쿼리인프라,12700.0,50.0,+0.40%,0.0,,,,
67.0,LG유플러스,11650.0,400.0,-3.32%,5000.0,138511.0,193705.0,9790.0,7.95
68.0,HD현대,61600.0,900.0,-1.44%,1000.0,281587.0,358157.0,10854.0,5.47
69.0,코웨이,62400.0,1000.0,-1.58%,500.0,36643.0,38006.0,6402.0,9.37
70.0,삼성엔지니어링,23450.0,500.0,-2.09%,5000.0,74867.0,60587.0,5033.0,10.79
71.0,SKC,121000.0,4500.0,-3.59%,5000.0,33961.0,61801.0,4647.0,15.61
72.0,한국타이어앤테크놀로지,36650.0,450.0,-1.21%,500.0,71411.0,117039.0,6422.0,6.65
73.0,현대미포조선,109500.0,2000.0,-1.79%,5000.0,28872.0,38783.0,-2173.0,-103.79
74.0,메리츠화재,37050.0,250.0,-0.67%,500.0,118614.0,276890.0,9076.0,6.01
75.0,현대제철,32300.0,750.0,-2.27%,5000.0,228499.0,370423.0,24475.0,2.22
76.0,한국가스공사,46250.0,350.0,+0.76%,5000.0,275208.0,436699.0,12397.0,3.11
77.0,GS,45600.0,250.0,+0.55%,5000.0,202401.0,311913.0,26403.0,1.95
78.0,DB손해보험,59800.0,800.0,-1.32%,500.0,208806.0,647516.0,11084.0,4.54
79.0,롯데지주,39950.0,700.0,-1.72%,200.0,99249.0,199219.0,2164.0,12.57
80.0,유한양행,55600.0,1400.0,-2.46%,1000.0,16878.0,24638.0,486.0,42.28
81.0,미래에셋증권,6470.0,140.0,-2.12%,5000.0,131448.0,1086418.0,14855.0,4.83
82.0,한진칼,59500.0,1100.0,-1.82%,2500.0,3953.0,37547.0,-1952.0,5.0
83.0,한화에어로스페이스,78300.0,100.0,-0.13%,5000.0,64151.0,110458.0,3830.0,25.66
84.0,오리온,97900.0,1700.0,-1.71%,500.0,23555.0,31204.0,3729.0,13.25
85.0,금호석유,127500.0,4000.0,-3.04%,5000.0,84618.0,81157.0,24068.0,2.72
86.0,메리츠금융지주,28850.0,700.0,-2.37%,500.0,356499.0,820309.0,18006.0,4.08
87.0,삼성카드,31450.0,250.0,-0.79%,5000.0,35881.0,271442.0,7493.0,6.35
88.0,한미약품,292000.0,8000.0,-2.67%,2500.0,12032.0,19367.0,1254.0,45.64
89.0,에스디바이오센서,34000.0,850.0,-2.44%,500.0,29300.0,30051.0,13640.0,3.01
90.0,두산밥캣,34400.0,950.0,-2.69%,500.0,58162.0,85809.0,5953.0,8.24
91.0,TIGER 차이나전기차SOLACTIVE,15505.0,95.0,-0.61%,0.0,,,,
92.0,쌍용C&E,6790.0,150.0,-2.16%,100.0,16614.0,35648.0,2487.0,28.89
93.0,포스코인터내셔널,27000.0,700.0,-2.53%,5000.0,339489.0,107707.0,5854.0,6.26
94.0,현대로템,30100.0,450.0,-1.47%,5000.0,28725.0,41072.0,802.0,39.3
95.0,현대차2우B,90000.0,1900.0,-2.07%,5000.0,,,,3.99
96.0,일진머티리얼즈,70800.0,2200.0,-3.01%,500.0,6889.0,17536.0,699.0,55.44
97.0,NH투자증권,9820.0,180.0,-1.80%,5000.0,107622.0,585420.0,12939.0,5.06
98.0,현대오토에버,115500.0,3000.0,-2.53%,500.0,20704.0,23461.0,961.0,40.9
99.0,한국금융지주,56800.0,1700.0,-2.91%,5000.0,137861.0,820366.0,15210.0,2.1
100.0,메리츠증권,4730.0,180.0,-3.67%,1000.0,232474.0,541082.0,9489.0,4.13
101.0,삼성증권,33600.0,900.0,-2.61%,5000.0,98095.0,657075.0,13087.0,4.28
102.0,씨에스윈드,70400.0,2100.0,+3.07%,500.0,12034.0,17739.0,1010.0,170.87
103.0,한화시스템,15600.0,200.0,-1.27%,5000.0,20895.0,38943.0,1120.0,159.18
104.0,OCI,123000.0,1000.0,-0.81%,5000.0,32440.0,57041.0,6260.0,3.93
105.0,한전기술,75400.0,400.0,-0.53%,200.0,4331.0,7055.0,101.0,169.06
106.0,현대해상,31750.0,650.0,-2.01%,500.0,188422.0,528180.0,6393.0,6.18
107.0,호텔신라,72000.0,1000.0,-1.37%,5000.0,37791.0,26564.0,1188.0,86.33
108.0,아모레G,33950.0,900.0,-2.58%,500.0,53261.0,80381.0,3562.0,76.12
109.0,롯데쇼핑,97500.0,3000.0,-2.99%,5000.0,155736.0,334265.0,2076.0,-24.0
110.0,BGF리테일,159000.0,1500.0,-0.93%,1000.0,67812.0,25964.0,1994.0,16.32
111.0,팬오션,5110.0,360.0,-6.58%,1000.0,46161.0,64888.0,5729.0,3.45
112.0,CJ대한통운,119000.0,2500.0,-2.06%,5000.0,113437.0,89939.0,3439.0,14.89
113.0,한미사이언스,39550.0,1900.0,-4.58%,500.0,9502.0,9499.0,589.0,52.66
114.0,이마트,97100.0,3400.0,-3.38%,5000.0,249327.0,312421.0,3168.0,1.54
115.0,KCC,289000.0,16000.0,-5.25%,5000.0,58749.0,128789.0,3888.0,-10.12
116.0,GS리테일,24450.0,300.0,-1.21%,1000.0,97657.0,94560.0,2085.0,3.17
117.0,GS건설,29700.0,1200.0,-3.88%,5000.0,90366.0,151837.0,6465.0,5.25
118.0,두산퓨얼셀,38800.0,1250.0,-3.12%,100.0,3814.0,6989.0,180.0,328.81
119.0,제일기획,21750.0,350.0,-1.58%,200.0,33257.0,25421.0,2482.0,13.63
120.0,대한전선,2000.0,85.0,+4.44%,100.0,19977.0,14209.0,395.0,52.63
121.0,만도,52300.0,2200.0,-4.04%,1000.0,61474.0,57044.0,2323.0,23.3
122.0,동서,24250.0,450.0,-1.82%,500.0,5353.0,15826.0,384.0,20.83
123.0,한솔케미칼,211000.0,13500.0,-6.01%,5000.0,7687.0,11972.0,1977.0,15.78
124.0,한화,30900.0,400.0,-1.28%,5000.0,528361.0,2023664.0,29279.0,2.89
125.0,LIG넥스원,105000.0,500.0,-0.47%,5000.0,18222.0,25768.0,972.0,15.54
126.0,CJ,76500.0,1500.0,-1.92%,5000.0,344840.0,419560.0,18818.0,8.42
127.0,에스원,57800.0,1500.0,-2.53%,500.0,23125.0,19730.0,1797.0,17.89
128.0,LG화학우,285000.0,8500.0,-2.90%,5000.0,,,,10.05
129.0,TIGER 미국나스닥100,75185.0,2870.0,-3.68%,0.0,,,,
130.0,BNK금융지주,6670.0,110.0,-1.62%,5000.0,55807.0,1282870.0,10920.0,2.49
131.0,현대차우,89100.0,1900.0,-2.09%,5000.0,,,,3.95
132.0,대우조선해양,20200.0,900.0,-4.27%,5000.0,44866.0,106232.0,-17547.0,-1.93
133.0,LS,66900.0,300.0,-0.45%,5000.0,130891.0,126259.0,5837.0,6.71
134.0,대우건설,5170.0,190.0,-3.54%,5000.0,86852.0,104580.0,7383.0,5.12
135.0,신세계,217000.0,6500.0,-2.91%,5000.0,63164.0,136445.0,5174.0,5.28
136.0,KODEX 200선물인버스2X,3120.0,140.0,+4.70%,0.0,,,,
137.0,하이트진로,30000.0,500.0,-1.64%,5000.0,22029.0,36311.0,1741.0,22.34
138.0,키움증권,79900.0,3500.0,-4.20%,5000.0,58662.0,453011.0,12089.0,2.89
139.0,KODEX 레버리지,14965.0,755.0,-4.80%,0.0,,,,
140.0,TIGER 200,31675.0,785.0,-2.42%,0.0,,,,
141.0,대웅제약,173500.0,500.0,-0.29%,2500.0,11530.0,14152.0,889.0,27.64
142.0,한화생명,2260.0,50.0,-2.16%,5000.0,271736.0,1635914.0,13520.0,2.13
143.0,DB하이텍,43550.0,2950.0,-6.34%,5000.0,12147.0,15499.0,3991.0,3.66
144.0,효성첨단소재,431500.0,10000.0,-2.27%,5000.0,35978.0,29087.0,4373.0,8.25
145.0,영원무역,42850.0,1800.0,-4.03%,500.0,27925.0,35476.0,4425.0,4.16
146.0,현대위아,69700.0,1600.0,-2.24%,5000.0,75277.0,77495.0,1027.0,8.38
147.0,농심,309500.0,6000.0,+1.98%,5000.0,26630.0,28999.0,1061.0,16.61
148.0,휠라홀딩스,30850.0,350.0,-1.12%,1000.0,37940.0,42889.0,4929.0,8.93
149.0,TIGER 미국S&P500,13655.0,365.0,-2.60%,0.0,,,,
150.0,코스모신소재,60400.0,400.0,-0.66%,1000.0,3059.0,3485.0,218.0,74.94
151.0,롯데정밀화학,71400.0,1100.0,-1.52%,5000.0,17803.0,27235.0,2445.0,3.76
152.0,한전KPS,40900.0,900.0,-2.15%,200.0,13806.0,14269.0,1240.0,27.14
153.0,녹십자,154500.0,5000.0,-3.13%,5000.0,15378.0,24621.0,737.0,14.47
154.0,KODEX KOFR금리액티브(합성),100660.0,10.0,+0.01%,0.0,,,,
155.0,오뚜기,482500.0,9500.0,-1.93%,5000.0,27390.0,26058.0,1666.0,11.85
156.0,LS ELECTRIC,57300.0,700.0,-1.21%,5000.0,26683.0,27967.0,1551.0,18.59
157.0,SK케미칼,96300.0,4700.0,-4.65%,5000.0,20896.0,39556.0,5552.0,12.82
158.0,에스엘,35450.0,350.0,-0.98%,500.0,30011.0,25675.0,1105.0,16.16
159.0,TIGER 단기통안채,101155.0,15.0,+0.01%,0.0,,,,
160.0,LX인터내셔널,41850.0,400.0,-0.95%,5000.0,166865.0,67469.0,6562.0,3.1
161.0,효성,75200.0,100.0,-0.13%,5000.0,35389.0,52579.0,6406.0,5.29
162.0,동원시스템즈,54300.0,1300.0,-2.34%,5000.0,12509.0,14920.0,900.0,33.87
163.0,DL이앤씨,40300.0,1750.0,-4.16%,5000.0,76317.0,87017.0,9573.0,3.31
164.0,KODEX 단기채권PLUS,103995.0,5.0,0.00%,0.0,,,,
165.0,JB금융지주,7590.0,40.0,-0.52%,5000.0,25415.0,563956.0,7083.0,2.76
166.0,후성,16100.0,500.0,-3.01%,500.0,3813.0,6163.0,581.0,20.0
167.0,신풍제약,27500.0,700.0,-2.48%,500.0,1892.0,3926.0,-143.0,-65.01
168.0,TIGER 미국필라델피아반도체나스닥,10050.0,490.0,-4.65%,0.0,,,,
169.0,솔루스첨단소재,41150.0,1100.0,-2.60%,100.0,3812.0,10116.0,20.0,184.53
170.0,코오롱인더,52500.0,1900.0,-3.49%,5000.0,46621.0,56013.0,2527.0,8.32
171.0,현대백화점,61100.0,2000.0,-3.17%,5000.0,35724.0,89692.0,2644.0,6.69
172.0,대성홀딩스,88700.0,0.0,0.00%,1000.0,9405.0,12440.0,213.0,62.2
173.0,TIGER 미국테크TOP10 INDXX,11140.0,480.0,-4.13%,0.0,,,,
174.0,롯데칠성,152000.0,4000.0,-2.56%,500.0,25061.0,35968.0,1822.0,9.28
175.0,DL,67300.0,1300.0,-1.90%,5000.0,23854.0,83230.0,2219.0,9.06
176.0,대웅,24050.0,700.0,-2.83%,500.0,15114.0,19337.0,1826.0,12.4
177.0,두산,84000.0,1400.0,-1.64%,5000.0,132042.0,260099.0,9459.0,-16.93
178.0,일진하이솔루스,37600.0,1100.0,-2.84%,500.0,1177.0,3435.0,98.0,152.85
179.0,대덕전자,27150.0,1500.0,-5.24%,500.0,10009.0,9410.0,725.0,10.54
180.0,KG스틸,13400.0,100.0,-0.74%,5000.0,33548.0,27711.0,2969.0,5.57
181.0,효성티앤씨,309500.0,7000.0,-2.21%,5000.0,85960.0,45265.0,14237.0,2.74
182.0,TIGER TOP10,10295.0,270.0,-2.56%,0.0,,,,
183.0,KODEX 2차전지산업,19755.0,275.0,-1.37%,0.0,,,,
184.0,롯데렌탈,35500.0,1300.0,-3.53%,5000.0,24227.0,61250.0,2455.0,8.7
185.0,서울가스,258500.0,500.0,-0.19%,5000.0,12778.0,16626.0,-49.0,63.87
186.0,KODEX 삼성그룹,8385.0,200.0,-2.33%,0.0,,,,
187.0,TIGER 2차전지테마,19505.0,415.0,-2.08%,0.0,,,,
188.0,KODEX 단기채권,103585.0,40.0,+0.04%,0.0,,,,
189.0,한샘,53600.0,1200.0,-2.19%,1000.0,22312.0,12464.0,693.0,41.23
190.0,DGB금융지주,7400.0,80.0,-1.07%,5000.0,51957.0,859060.0,7486.0,2.31
191.0,동국제강,13100.0,800.0,-5.76%,5000.0,72403.0,63341.0,8030.0,1.58
192.0,현대두산인프라코어,6270.0,300.0,-4.57%,1000.0,45937.0,47823.0,2645.0,2.51
193.0,KODEX 종합채권(AA-이상)액티브,101175.0,380.0,-0.37%,0.0,,,,
194.0,롯데리츠,5040.0,50.0,-0.98%,500.0,562.0,24039.0,328.0,33.16
195.0,한국앤컴퍼니,12850.0,300.0,-2.28%,500.0,9633.0,40812.0,2283.0,5.39
196.0,TIGER MSCI Korea TR,12955.0,325.0,-2.45%,0.0,,,,
197.0,현대일렉트릭,33250.0,250.0,+0.76%,5000.0,18060.0,22150.0,97.0,-25.09
198.0,현대엘리베이,28550.0,1200.0,-4.03%,5000.0,19734.0,29874.0,1290.0,6.67
199.0,롯데제과,123500.0,500.0,+0.41%,500.0,21454.0,26666.0,1085.0,23.99
200.0,ESR켄달스퀘어리츠,5460.0,30.0,-0.55%,1000.0,467.0,22680.0,238.0,37.4
201.0,한미반도체,11700.0,550.0,-4.49%,100.0,3732.0,4293.0,1224.0,10.25
202.0,아이에스동서,36450.0,1000.0,-2.67%,500.0,16084.0,35098.0,3108.0,5.02
203.0,영풍,608000.0,0.0,0.00%,5000.0,35821.0,55210.0,-268.0,6.25
204.0,SK네트웍스,4500.0,115.0,-2.49%,2500.0,110181.0,94109.0,1220.0,22.96
205.0,SK가스,120500.0,2000.0,-1.63%,5000.0,64945.0,51215.0,1055.0,4.74
206.0,KODEX 200TR,10575.0,260.0,-2.40%,0.0,,,,
207.0,SK리츠,5570.0,200.0,-3.47%,500.0,186.0,18832.0,153.0,97.72
208.0,명신산업,20500.0,600.0,-2.84%,500.0,11077.0,7195.0,565.0,20.0
209.0,아시아나항공,14450.0,500.0,-3.34%,5000.0,43397.0,130827.0,932.0,-3.87
210.0,KBSTAR 200,31795.0,765.0,-2.35%,0.0,,,,
211.0,에이프로젠,1385.0,30.0,-2.12%,500.0,1412.0,8241.0,-27.0,-24.73
212.0,PI첨단소재,35550.0,1150.0,-3.13%,500.0,3019.0,4730.0,759.0,18.52
213.0,한일시멘트,14950.0,150.0,-0.99%,500.0,12719.0,23703.0,1204.0,14.61
214.0,종근당,85200.0,1800.0,-2.07%,2500.0,13436.0,10467.0,948.0,23.06
215.0,더존비즈온,33550.0,900.0,-2.61%,500.0,3187.0,9003.0,712.0,25.73
216.0,케이카,21000.0,500.0,-2.33%,500.0,19024.0,5500.0,711.0,28.69
217.0,코리안리,8370.0,10.0,-0.12%,500.0,109155.0,131157.0,2035.0,7.07
218.0,솔루엠,19800.0,550.0,-2.70%,500.0,11533.0,7109.0,265.0,46.26
219.0,금호타이어,3425.0,95.0,-2.70%,5000.0,26012.0,43422.0,-415.0,-12.55
220.0,미원에스씨,191500.0,1500.0,-0.78%,500.0,5313.0,4381.0,950.0,11.34
221.0,일동제약,36350.0,1400.0,-3.71%,1000.0,5601.0,7090.0,-555.0,-5.34
222.0,CJ CGV,20300.0,650.0,-3.10%,500.0,7363.0,37855.0,-2414.0,-3.02
223.0,GKL,15550.0,150.0,-0.96%,500.0,851.0,5313.0,-1458.0,-12.56
224.0,신세계인터내셔날,26900.0,1000.0,-3.58%,1000.0,14508.0,11591.0,920.0,9.65
225.0,유니드,108000.0,1000.0,-0.92%,5000.0,10973.0,13477.0,1683.0,6.53
226.0,해성디에스,56100.0,2400.0,-4.10%,5000.0,6554.0,4749.0,863.0,7.18
227.0,NHN,25100.0,750.0,-2.90%,500.0,19237.0,30272.0,979.0,12.89
228.0,오리온홀딩스,14850.0,0.0,0.00%,500.0,24151.0,49618.0,3157.0,9.28
229.0,태광산업,828000.0,20000.0,-2.36%,5000.0,25918.0,49238.0,3553.0,5.43
230.0,제이알글로벌리츠,4630.0,65.0,-1.38%,1000.0,463.0,18846.0,241.0,24.24
231.0,동양생명,5540.0,80.0,-1.42%,5000.0,63476.0,371033.0,3322.0,3.83
232.0,미원상사,178000.0,1000.0,-0.56%,500.0,3598.0,3724.0,572.0,13.65
233.0,녹십자홀딩스,18550.0,500.0,-2.62%,500.0,18406.0,34968.0,862.0,28.41
234.0,덴티움,78700.0,3800.0,-4.61%,500.0,2915.0,5702.0,699.0,10.32
235.0,진에어,16650.0,800.0,-4.58%,1000.0,2472.0,6016.0,-1853.0,-11.78
236.0,티와이홀딩스,16950.0,650.0,-3.69%,500.0,2952.0,21322.0,112.0,6.89
237.0,TKG휴켐스,21100.0,650.0,-2.99%,1000.0,8612.0,9493.0,934.0,11.27
238.0,쏘카,26250.0,1100.0,-4.02%,100.0,2890.0,4332.0,-210.0,111.23
239.0,삼성 레버리지 WTI원유 선물 ETN,2115.0,60.0,+2.92%,0.0,,,,
240.0,한국콜마,37250.0,1000.0,-2.61%,500.0,15863.0,26060.0,843.0,24.09
241.0,하나투어,53000.0,600.0,+1.15%,500.0,403.0,4306.0,-1273.0,-35.96
242.0,이노션,42500.0,300.0,-0.70%,500.0,15020.0,22016.0,1357.0,14.78
243.0,삼천리,209000.0,2500.0,-1.18%,5000.0,37633.0,42453.0,700.0,11.28
244.0,진원생명과학,10800.0,50.0,-0.46%,1000.0,387.0,2495.0,-275.0,-34.29
245.0,롯데관광개발,11600.0,100.0,-0.85%,500.0,1071.0,13024.0,-1313.0,-3.92
246.0,한올바이오파마,16050.0,200.0,-1.23%,500.0,1016.0,1985.0,101.0,891.67
247.0,삼양식품,110500.0,3500.0,-3.07%,5000.0,6420.0,7531.0,654.0,10.51
248.0,동원산업,225500.0,5500.0,-2.38%,5000.0,28022.0,30519.0,2607.0,3.97
249.0,KODEX 인버스,4875.0,110.0,+2.31%,0.0,,,,
250.0,다우기술,18450.0,200.0,-1.07%,500.0,60870.0,463224.0,12572.0,2.93
